,Company_Brand,Sector,Stage,Amount($),City,HeadQuarter,What_it_does,Year,Founded,Founders,Investor
494,CLP India Pvt. Ltd.,Energy,Private Equity,365000000.0,Mumbai,"Mumbai, Maharashtra, India",CLP India Pvt. Ltd. is a foreign investor in the Indian power sector.,2018,2016.0,Mumbai Angels Network,Undisclosed
495,Xplorabox,Education,Seed,3000000.0,Noida,"Noida, Uttar Pradesh, India",Xplorabox is as an educational activity box subscription startup aiming to revolutionize the early education industry.,2018,2016.0,"Saurabh Saxena, Pulkit Jain, Anand Prakash, Vamsi Krishna",Undisclosed
496,Myra,Healthcare,Venture - Series Unknown,128178.75,Bangalore,"Bangalore, Karnataka, India",Myra is a unique solution of technology and operations that makes buying medicines fast and efficient.,2018,2016.0,Ashish Rawat,Undisclosed
497,Vokal,Energy,Series A,1500000.0,Bengaluru,"Bengaluru, Karnataka, India",India's Largest Peer-to-Peer Knowledge Sharing Platform in Indian Languages.,2018,2016.0,Mumbai Angels Network,Undisclosed
498,Kissht,Finance,Series C,30000000.0,Mumbai,"Mumbai, Maharashtra, India","Kissht is a financial technology platform that enables instant, seamless credit for consumers to make purchases at digital points of sales",2018,2016.0,"Ashneer Grover, Shashvat Nakrani",Undisclosed
499,Upwards Fintech,Finance,Series A,5000000.0,Mumbai,"Mumbai, Maharashtra, India",Upwards Fintech financial company.,2018,2016.0,"Ashneer Grover, Shashvat Nakrani",Undisclosed
500,Bon(Bonfleet Solutions),Finance,Seed,1142622.0,Pune,"Pune, Maharashtra, India","Bon, a Pune-based FinTech firm was created to bring financial services to the gig-economy workforce.",2018,2016.0,"Ashneer Grover, Shashvat Nakrani",Undisclosed
501,Mamaearth,Education,Series A,4000000.0,Gurgaon,"Gurgaon, Haryana, India",Mamaearth is an online retailer specializing in baby and toddler products.,2018,2016.0,"Saurabh Saxena, Pulkit Jain, Anand Prakash, Vamsi Krishna",Undisclosed
502,BabyChakra,Energy,Series B,3000000.0,Mumbai,"Mumbai, Maharashtra, India",BabyChakra is India's largest & most loved platform to discover the right maternity and childcare.,2018,2016.0,Mumbai Angels Network,Undisclosed
503,Belstar Investment and Finance Private Limited,Finance,Venture - Series Unknown,28000000.0,Chennai,"Chennai, Tamil Nadu, India",Belstar Investment and Finance Private Limited is a provider of scalable microfinance services to entrepreneurs.,2018,2016.0,"Ashneer Grover, Shashvat Nakrani",Undisclosed
504,Naaptol,Education,Venture - Series Unknown,15000000.0,Mumbai,"Mumbai, Maharashtra, India","Koku Gamer is an online platform that offers gaming related news, editorials, reviews, previews, and other content.",2018,2016.0,"Saurabh Saxena, Pulkit Jain, Anand Prakash, Vamsi Krishna",Undisclosed
505,Moonshine Meadery,Energy,Seed,3000000.0,Pune,"Pune, Maharashtra, India",Moonshine Meadery is a first craft meadery.,2018,2016.0,Mumbai Angels Network,Undisclosed
506,Verzeo,Energy,Series A,5000000.0,Bangalore,"Bangalore, Karnataka, India",Verzeo is anAI-focussed edtech startup.,2018,2016.0,Mumbai Angels Network,Undisclosed
507,Haazri,Energy,Seed,183112.5,Mumbai,"Mumbai, Maharashtra, India",Haazri is a tea and snack quick service restaurant startup,2018,2016.0,Mumbai Angels Network,Undisclosed
508,Connect India,Education,Angel,3000000.0,New Delhi,"New Delhi, Delhi, India","To create pervasive network where connections are simpler, more powerful, more affordable, more global and more available to all.",2018,2016.0,"Saurabh Saxena, Pulkit Jain, Anand Prakash, Vamsi Krishna",Undisclosed
509,Flyrobe,Energy,Series B,3867336.0,Mumbai,"Mumbai, Maharashtra, India",Flyrobe is an on-demand apparel rental platform that provides premium designer wear.,2018,2016.0,Mumbai Angels Network,Undisclosed
510,Scholify,Energy,Pre-Seed,3000000.0,Bengaluru,"Bengaluru, Karnataka, India",Edutech,2018,2016.0,Mumbai Angels Network,Undisclosed
511,Dream11,Energy,Series D,100000000.0,Mumbai,"Mumbai, Maharashtra, India","Dream11 is India’s Biggest Sports Game with 30 million+ users playing Fantasy Cricket, Football, Kabaddi and NBA.",2018,2016.0,Mumbai Angels Network,Undisclosed
512,srJna,Education,Seed,3000000.0,Jaipur,"Jaipur, Rajasthan, India","SRJNA is a brand of Elation Edtech Pvt. Ltd., which helps schools to integrate hands on, affordable and turnkey STEM.",2018,2016.0,"Saurabh Saxena, Pulkit Jain, Anand Prakash, Vamsi Krishna",Undisclosed
513,Nykaa,Healthcare,Secondary Market,16553370.0,Mumbai,"Mumbai, Maharashtra, India",Nykaa.com is a premier online beauty and wellness destination,2018,2016.0,Ashish Rawat,Undisclosed
514,Chaayos,Energy,Series B,11865690.0,New Delhi,"New Delhi, Delhi, India",Chaayos was born in November 2012 out of this premise - a contemporary interpretation of the chai adda.,2018,2016.0,Mumbai Angels Network,Undisclosed
515,Heelium,Healthcare,Seed,3000000.0,Pune,"Pune, Maharashtra, India",Heelium is an athletic footwear and wearable startup with primary focus on sports safety and sustainability.,2018,2016.0,Ashish Rawat,Undisclosed
516,LT Foods,Energy,Post-IPO Equity,20508600.0,New Delhi,"New Delhi, Delhi, India",LT Foods believe that nature will continue to nurture us until we as a species continue to breathe and live.,2018,2016.0,Mumbai Angels Network,Undisclosed
517,Multibashi,Energy,Seed,146490.0,Bengaluru,"Bengaluru, Karnataka, India",Free language learning platform.,2018,2016.0,Mumbai Angels Network,Undisclosed
518,Cleardekho,Energy,Venture - Series Unknown,3000000.0,Ghaziabad,"Ghaziabad, Uttar Pradesh, India",Uttar Pradesh based online eyewear marketplace.,2018,2016.0,Mumbai Angels Network,Undisclosed
519,Dailyhunt,Energy,Series E,6000000.0,Bangalore,"Bangalore, Karnataka, India",NewsHunt is a Bangalore based eBooks company.,2018,2016.0,Mumbai Angels Network,Undisclosed
520,SlicePay,Finance,Series A,14900000.0,Bengaluru,"Bengaluru, Karnataka, India",SlicePay is an AI based instant credit app for youngsters in India.,2018,2016.0,"Ashneer Grover, Shashvat Nakrani",Undisclosed
521,Udaan,Energy,Series C,225000000.0,Bangalore,"Bangalore, Karnataka, India","Udaan is a B2B trade platform, designed specifically for small and medium businesses in India.",2018,2016.0,Mumbai Angels Network,Undisclosed
522,Happyeasygo Group,Energy,Series A,3000000.0,Haryana,"Haryana, Haryana, India",HappyEasyGo is an online travel domain.,2018,2016.0,Mumbai Angels Network,Undisclosed
523,Mombay,Energy,Seed,7500.0,Mumbai,"Mumbai, Maharashtra, India",Mombay is a unique opportunity for housewives to start household food business and avail everyone with their homemade healthy dishes.,2018,2016.0,Mumbai Angels Network,Undisclosed
524,Droni Tech,Energy,Seed,512715.0,Mumbai,"Mumbai, Maharashtra, India",Droni Tech manufacture UAVs and develop software to service a range of industry requirements.,2018,2016.0,Mumbai Angels Network,Undisclosed
525,Netmeds,Healthcare,Series C,35000000.0,Chennai,"Chennai, Tamil Nadu, India",Welcome to India's most convenient pharmacy!,2018,2016.0,Ashish Rawat,Undisclosed
526,Bombay Shaving,Energy,Unknown,6300000.0,Online Media	,Online Media	,Provides a range of male grooming products Shantanu Deshpande,2019,2015.0,Sixth Sense Ventures,Undisclosed
527,Ruangguru,Education,Series C,150000000.0,Mumbai,Mumbai,"A learning platform that provides topic-based journey, animated videos, quizzes, infographic and mock tests to students",2019,2014.0,"Adamas Belva Syah Devara, Iman Usman.",General Atlantic
528,Eduisfun,Education,Fresh funding,28000000.0,Mumbai,Mumbai,It aims to make learning fun via games.,2019,2015.0,Jatin Solanki,"Deepak Parekh, Amitabh Bachchan, Piyush Pandey"
529,HomeLane,RealEstate,Series D,30000000.0,Chennai,Chennai,Provides interior designing solutions,2019,2014.0,"Srikanth Iyer, Rama Harinath","Evolvence India Fund (EIF), Pidilite Group, FJ Labs"
530,Nu Genes,Energy,Unknown,6000000.0,Telangana,Telangana,"It is a seed company engaged in production, processing and marketing of seeds Narayana Reddy Punyala",2019,2004.0,Innovation in Food and Agriculture (IFA),Undisclosed
531,FlytBase,Energy,Unknown,3000000.0,Pune,Pune,A drone automation platform Nitin Gupta,2019,2015.0,Undisclosed,Undisclosed
532,Finly,Energy,Unknown,3000000.0,Bangalore,Bangalore,"It builds software products that makes work simpler, pleasant, and productive Vivek AG, Veekshith C Rai",2019,2015.0,"Social Capital, AngelList India, Gemba Capital, Omphalos Ventures,  91springboard via Atal Innovation Mission, Niti Aayog.",Undisclosed
533,Kratikal,Energy,Pre series A,1000000.0,Noida,Noida,It is a product-based cybersecurity solutions provider,2019,2013.0,"Pavan Kushwaha, Paratosh Bansal, Dip Jung Thapa","Gilda VC, Art Venture, Rajeev Chitrabhanu."
534,Quantiphi,Energy,Series A,20000000.0,Mumbai,Mumbai,It is an AI and big data services company providing business solutions.,2019,2015.0,Renuka Ramnath,Multiples Alternate Asset Management
535,Lenskart,Education,Series G,275000000.0,Delhi,Delhi,It is a eyewear company,2019,2010.0,"Peyush Bansal, Amit Chaudhary, Sumeet Kapahi",SoftBank
536,Cub McPaws,Education,Unknown,3000000.0,Mumbai,Mumbai,"A B2C  brand that focusses on premium and comfortable merchandise for Generation Alpha – kids Abhay Bhat, Kinnar Shah",2019,2010.0,Venture Catalysts,Undisclosed
537,Appnomic,Energy,Unknown,22000000.0,Bangalore,Bangalore,"It is a self-healing enterprise, the IT operations software detects, predicts and prevents problems before they happen D Padmanabhan",2019,2015.0,Avataar Ventures,Undisclosed
538,Kaleidofin,Finance,Series A,5000000.0,Chennai,Chennai,Platform that provides complete financial solutions for excluded individuals and households,2019,2018.0,"Puneet Gupta, Sucharita Mukherjee",Oikocredit
539,JobSquare,Energy,Unknown,140500.0,Ahmedabad,Ahmedabad,Technology-based platform that is connecting suitable applicants to the right recruiters Ishit Jethwa,2019,2019.0,Titan Capital,Undisclosed
540,Open Secret,Energy,Unknown,3000000.0,New Delhi,New Delhi,"It produces and sells top quality snacks Ahana Gautam, Udit Kejriwal",2019,2015.0,Matrix Partners,Undisclosed
541,LivFin,Finance,Unknown,5000000.0,Delhi,Delhi,"Grants small business loans, supply chain finance and working capital loans to small and medium enterprises Rakesh Malhotra",2019,2017.0,German development finance institution DEG,Undisclosed
542,Byju's,Education,Unknown,540000000.0,Bangalore,Bangalore,Provides online learning classes Byju Raveendran,2019,2011.0,"South Africa’s Naspers Ventures, the CPP Investment Board",Undisclosed
543,Zest Money,Finance,Series B,15000000.0,Bangalore,Bangalore,Uses AI to do risk profiling of e-commerce consumers who opt for EMI,2019,2015.0,"Chapman, Priya Sharma, Ashish Anantharaman",Goldman Sachs.
544,Witblox,Education,Unknown,182700.0,Bangalore,Bangalore,Offers a range of robotics learning tools Amit Modi,2019,2014.0,Mumbai Angels Network,Undisclosed
545,Azah Personal Care Pvt. Ltd.,Energy,Pre series A,3000000.0,Gurugram,Gurugram,Aims to solve some problems in the feminine hygiene sector,2019,2018.0,"Mohammed, Shashwat Diesh","Kunal Bahl, Rohit Bansal."
546,SalaryFits,Finance,Unknown,5000000.0,Bengaluru,"Bengaluru, Karnataka, India",A platform that promotes financial well-being of employees at workplace Renato Araujo,2019,2015.0,Brazilian VC Fund Confrapar,Undisclosed
547,Pristyn Care,Energy,Series B,12000000.0,Mumbai,"Mumbai, Maharashtra, India",Delivers advanced medical care & clinical excellence aided by next-level technology,2019,2018.0,"Harsimarbir Singh, Dr Vaibhav Kapoor, Dr Garima Sawhney","Sequoia India, Hummingbird Ventures, Greenoaks Capital, AngelList."
548,Springboard,Education,Post series A,11000000.0,Pune,Pune,Offers online courses and extensive mentor-based learning,2019,2013.0,"Gautam Tambay, Parul Gupta",Reach Capital
549,DROR Labs Pvt. Ltd,Energy,Unknown,3000000.0,Delhi,Delhi,"It uses technology to create a trust-based network of responsible citizens to ensure safety Dhiraj Naubhar, Dheeraj Bansal",2019,2018.0,Inflection Point Ventures,Undisclosed
550,Medlife,Healthcare,Unknown,15500000.0,Bangalore,Bangalore,"It solves inadequacies in the healthcare delivery system through technology Tushar Kumar, Prashant Singh",2019,2014.0,Wilson Global Opportunities Fund,Undisclosed
551,Seekify,Energy,Seed funding,1500000.0,Delhi,Delhi,Customer Experience (CX) Automation platform,2019,2019.0,"Arihant Jain, Ajeet Kushwaha",Sequoia Capita
552,Toffee Insurance,Finance,Series A,5500000.0,Haryana,Haryana,Provides variety of insurance plans and policies,2019,2017.0,"Nishant Jain, Rohan Kumar",IVM Intersurer
